Step,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MIN,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MAX
211,0.719961286,0.719961286,0.719961286
213,0.825420201,0.825420201,0.825420201
214,0.703309298,0.703309298,0.703309298
216,1.171961784,1.171961784,1.171961784
217,0.645760417,0.645760417,0.645760417
218,0.936441779,0.936441779,0.936441779
219,0.794119239,0.794119239,0.794119239
220,0.942147911,0.942147911,0.942147911
221,0.359510899,0.359510899,0.359510899
222,0.642925739,0.642925739,0.642925739
223,0.817370892,0.817370892,0.817370892
224,0.490438521,0.490438521,0.490438521
225,1.075962543,1.075962543,1.075962543
226,0.902581334,0.902581334,0.902581334
227,0.907707453,0.907707453,0.907707453
228,0.674412072,0.674412072,0.674412072
229,0.705772817,0.705772817,0.705772817
230,0.689083338,0.689083338,0.689083338
231,0.742839396,0.742839396,0.742839396
232,0.734623969,0.734623969,0.734623969
233,0.938488424,0.938488424,0.938488424
234,0.812249005,0.812249005,0.812249005
235,0.649850011,0.649850011,0.649850011
236,0.744344592,0.744344592,0.744344592
237,1.024818063,1.024818063,1.024818063
238,0.824014306,0.824014306,0.824014306
239,0.905414104,0.905414104,0.905414104
240,0.790956378,0.790956378,0.790956378
241,0.880850554,0.880850554,0.880850554
243,0.796834111,0.796834111,0.796834111
244,0.596102834,0.596102834,0.596102834
245,0.281941295,0.281941295,0.281941295
246,0.743073344,0.743073344,0.743073344
247,0.744696975,0.744696975,0.744696975
248,0.658272505,0.658272505,0.658272505
249,0.857451677,0.857451677,0.857451677
250,0.78187716,0.78187716,0.78187716
251,0.863875449,0.863875449,0.863875449
254,0.917500138,0.917500138,0.917500138
255,0.509212852,0.509212852,0.509212852
256,0.96982646,0.96982646,0.96982646
257,0.962501228,0.962501228,0.962501228
258,0.785188913,0.785188913,0.785188913
259,0.520192981,0.520192981,0.520192981
260,0.320659816,0.320659816,0.320659816
261,0.845949531,0.845949531,0.845949531
262,0.920734763,0.920734763,0.920734763
263,0.587866068,0.587866068,0.587866068
265,1.19542408,1.19542408,1.19542408
266,0.657518506,0.657518506,0.657518506
267,0.704090178,0.704090178,0.704090178
268,0.788774788,0.788774788,0.788774788
270,0.513934314,0.513934314,0.513934314
271,0.550816774,0.550816774,0.550816774
272,0.570429921,0.570429921,0.570429921
273,0.859442115,0.859442115,0.859442115
274,0.946727991,0.946727991,0.946727991
275,0.951776147,0.951776147,0.951776147
277,1.213289738,1.213289738,1.213289738
278,0.490767002,0.490767002,0.490767002
279,0.482367277,0.482367277,0.482367277
280,0.787309885,0.787309885,0.787309885
281,0.403771847,0.403771847,0.403771847
283,0.809102774,0.809102774,0.809102774
284,0.706097245,0.706097245,0.706097245
285,1.061823964,1.061823964,1.061823964
286,0.73594147,0.73594147,0.73594147
287,0.466111869,0.466111869,0.466111869
288,0.773332775,0.773332775,0.773332775
289,0.391578525,0.391578525,0.391578525
290,1.077313781,1.077313781,1.077313781
291,0.672169626,0.672169626,0.672169626
292,0.655896544,0.655896544,0.655896544
293,0.662692547,0.662692547,0.662692547
294,0.498104453,0.498104453,0.498104453
295,0.804757893,0.804757893,0.804757893
297,0.579294086,0.579294086,0.579294086
298,0.397288799,0.397288799,0.397288799
299,0.829638243,0.829638243,0.829638243
300,0.333357245,0.333357245,0.333357245
301,0.72200501,0.72200501,0.72200501
302,1.059749246,1.059749246,1.059749246
304,0.690946639,0.690946639,0.690946639
305,0.530480504,0.530480504,0.530480504
306,0.600987434,0.600987434,0.600987434
307,0.253690809,0.253690809,0.253690809
308,0.466179699,0.466179699,0.466179699
309,0.471100867,0.471100867,0.471100867
